FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Class
26,2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,Failure,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,0
27,2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,Failure,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,0
28,2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
29,2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
30,2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
32,2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
33,2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
34,2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,Failure,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,0
35,2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
36,2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
37,2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,Failure,1,False,False,False,,,,,0
38,2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
39,2017-05-01,Falcon 9,8191.079109589042,LEO,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
40,2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,Failure,1,False,False,False,,,,,0
41,2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
42,2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
43,2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
44,2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,Failure,1,False,False,False,,,,,0
45,2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
46,2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
47,2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
48,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
49,2017-10-11,Falcon 9,5200.0,GTO,KSC LC 39A,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
50,2017-10-30,Falcon 9,3700.0,GTO,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
51,2017-12-15,Falcon 9,2205.0,ISS,CCSFS SLC 40,Success,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
52,2017-12-23,Falcon 9,9600.0,PO,VAFB SLC 4E,Success,2,True,True,False,,,,,1
53,2018-01-08,Falcon 9,8191.079109589042,LEO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,1
54,2018-01-31,Falcon 9,4230.0,GTO,CCSFS SLC 40,Success,2,True,True,True,,,,,1
57,2018-03-06,Falcon 9,6092.0,GTO,CCSFS SLC 40,Failure,1,True,False,True,,,,,0
58,2018-03-30,Falcon 9,9600.0,PO,VAFB SLC 4E,Failure,2,True,True,True,,,,,0
59,2018-04-02,Falcon 9,2760.0,ISS,CCSFS SLC 40,Failure,2,True,True,True,,,,,0
60,2018-04-18,Falcon 9,350.0,HEO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
61,2018-05-11,Falcon 9,3750.0,GTO,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
63,2018-06-04,Falcon 9,5383.85,GTO,CCSFS SLC 40,Failure,2,False,True,False,,,,,0
64,2018-06-29,Falcon 9,2410.0,ISS,CCSFS SLC 40,Failure,2,False,True,False,,,,,0
65,2018-07-22,Falcon 9,7076.0,GTO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
66,2018-07-25,Falcon 9,9600.0,PO,VAFB SLC 4E,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
67,2018-08-07,Falcon 9,5800.0,GTO,CCSFS SLC 40,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
68,2018-09-10,Falcon 9,7060.0,GTO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
69,2018-10-08,Falcon 9,2800.0,SSO,VAFB SLC 4E,Success,2,True,True,True,5e9e3032383ecb554034e7c9,,,,1
70,2018-11-15,Falcon 9,3000.0,GTO,KSC LC 39A,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
71,2018-12-03,Falcon 9,4000.0,SSO,VAFB SLC 4E,Success,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
72,2018-12-05,Falcon 9,2573.0,ISS,CCSFS SLC 40,Failure,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,0
73,2018-12-23,Falcon 9,4400.0,MEO,CCSFS SLC 40,Failure,1,False,False,False,,,,,0
74,2019-01-11,Falcon 9,9600.0,PO,VAFB SLC 4E,Success,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
76,2019-03-02,Falcon 9,12259.0,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
78,2019-05-04,Falcon 9,2482.0,ISS,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
